score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,channels_used,fold,run
,,,3,1,,,Stieger2021,csd_riem+lda,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
,,,3,1,,,Stieger2021,csd_riem+lr,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.36771536,0.30532545,446.0,3,1,17.0,11.0,Stieger2021,csp+lda,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.45290887,0.38745913,446.0,3,1,17.0,11.0,Stieger2021,riem+lr,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.41475657,0.3956543,446.0,3,1,17.0,11.0,Stieger2021,riem+lda,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.37438202,0.28424042,446.0,3,1,17.0,11.0,Stieger2021,csp+lr,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.27877223,0.30790314,416.0,3,3,17.0,11.0,Stieger2021,csp+lda,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.37274814,0.37251878,416.0,3,3,17.0,11.0,Stieger2021,riem+lr,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.34859437,0.3763376,416.0,3,3,17.0,11.0,Stieger2021,riem+lda,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.3317269,0.32361603,416.0,3,3,17.0,11.0,Stieger2021,csp+lr,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
,,,3,3,,,Stieger2021,csd_csp+lda,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
,,,3,3,,,Stieger2021,csd_csp+lr,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
,,,3,3,,,Stieger2021,csd_riem+lda,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
,,,3,3,,,Stieger2021,csd_riem+lr,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.27877223,0.30790314,416.0,3,3,17.0,11.0,Stieger2021,csp+lda,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.37274814,0.37251878,416.0,3,3,17.0,11.0,Stieger2021,riem+lr,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.34859437,0.3763376,416.0,3,3,17.0,11.0,Stieger2021,riem+lda,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.3317269,0.32361603,416.0,3,3,17.0,11.0,Stieger2021,csp+lr,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.39817137,0.30884737,437.0,3,7,17.0,11.0,Stieger2021,csp+lda,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.5284744,0.37706208,437.0,3,7,17.0,11.0,Stieger2021,riem+lr,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.46687564,0.38452807,437.0,3,7,17.0,11.0,Stieger2021,riem+lda,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.38435215,0.29903436,437.0,3,7,17.0,11.0,Stieger2021,csp+lr,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
,,,3,7,,,Stieger2021,csd_csp+lda,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
,,,3,7,,,Stieger2021,csd_csp+lr,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
,,,3,7,,,Stieger2021,csd_riem+lda,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
,,,3,7,,,Stieger2021,csd_riem+lr,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.39817137,0.30884737,437.0,3,7,17.0,11.0,Stieger2021,csp+lda,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.5284744,0.37706208,437.0,3,7,17.0,11.0,Stieger2021,riem+lr,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.46687564,0.38452807,437.0,3,7,17.0,11.0,Stieger2021,riem+lda,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
0.38435215,0.29903436,437.0,3,7,17.0,11.0,Stieger2021,csp+lr,"FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4",,
